innings,over,ball,start_time,end_time,bowler,batsman,runs,comment
1,7,5,2803.96,2818.76,Muralitharan,Dravid,4,"Top shot! . It wasn't all that short, Dravid rocked back, created his own length and punched the off break to wide long-on boundary."
,,,,,,,,
1,7,6,2835.56,2849.48,Muralitharan,Dravid,OUT,"super comeback from Murali! It was the topspinner this time. It landed on the middle and off stump line, from round the stumps, and moved towards off stump.. Rahul again rocked back and tried to cut it but misses it completely. Timber!"
,,,,,,,,
1,8,1,2933.36,2943.4,Tyagi,Pandey,0,"bounces from short of length outside off , dabbed to point"
,,,,,,,,
1,8,2,2966.04,2971.64,Tyagi,Pandey,0,tries to clear the front foot and seemed to be initially going for the pull to the on side but the ball wasn't short as he anticipated. He tried to adjust by changing his shot and go for a cut but the ball flies past the edge
,,,,,,,,
1,8,3,2996.44,3005.52,Tyagi,Pandey,0,"**run out missed** It was pushed to midwicket and Robin had backed up too far. Hayden picked up the ball and fired the throw at the non-striker's end. Robin tried to dive back in .. Had it hit the stumps, he would have been out"
,,,,,,,,
1,8,4,3035.48,3047.4,Tyagi,Pandey,1,high bouncer flies over Pandey
,,,,,,,,
1,8,4,3068.6,3083.64,Tyagi,Pandey,1,"kicks up from short of length outside off, Manish wrists it wide of Hayden at midwicket for a single"
,,,,,,,,
1,8,5,3122.28,3130.24,Tyagi,Uthappa,0,"goes for the yorker, pushed out to cover"
,,,,,,,,
1,8,6,3154.48,3166.2,Tyagi,Uthappa,0,"good delivery, straightening outside off stump, Robin is beaten, trying to guide it to third man. Fine spell from Tyagi, who replaced Gony for this match."
,,,,,,,,
1,9,1,3328,3335.28,Muralitharan,Pandey,0,"turns in to the off stump line, pushed back to the bowler"
,,,,,,,,
1,9,2,3345.4,3357.96,Muralitharan,Pandey,1,"slows up the pace, off break on middle stump line, worked wide of midwicket"
,,,,,,,,
1,9,3,3385.92,3394.28,Muralitharan,Uthappa,1,"bye, appeal for lbw .. Robin goes for the big sweep and perhaps is struck just outside off stump. Got to see the replays."
,,,,,,,,
1,9,4,3409.32,3421.72,Muralitharan,Pandey,OUT,strikes again. Manish went for the big slog sweep this time and ended up slicing it towards mid-on. The ball swirled down from the night sky .. Raina went back from short midwicket and took a good catch as the ball dropped behind his shoulder.
,,,,,,,,
1,9,5,3482.32,3492.92,Muralitharan,Uthappa,0,"Robin goes for the reverse sweep, misses and is struck on the pad. Perhaps, turning down leg."
,,,,,,,,
1,9,6,3508.76,3515.76,Muralitharan,Uthappa,4,He repeats the reverse sweep and this time connects really well. The ball races past short third man fielder.
,,,,,,,,
1,10,1,3577,3585.36,Morkel,Kohli,0,leans forward to push it away for a single
,,,,,,,,
1,10,2,3610.8,3623.08,Morkel,Kohli,2,turns this towards mid-on .. and they rush back fo the second rub .. before the man rushes in from the deep. Superbly run by both
,,,,,,,,
1,10,3,3645.48,3659.52,Morkel,Kohli,1,leans forward to ping long-on
,,,,,,,,
1,10,4,3693.2,3700.28,Morkel,Uthappa,0,length delivery but it kicks up appreciably and Robin pushes at it and is beaten.
,,,,,,,,
1,10,5,3734.28,3742.88,Morkel,Uthappa,1,leans across and tries to work it to the on side and gets a leading edge to third man
,,,,,,,,
1,10,6,3787.92,3802.4,Morkel,Kohli,4,full length delivery outside off and Kohli plays a classy cover drive ... the ball races away through the off-side field
,,,,,,,,
1,11,1,3861.04,3868.04,Muralitharan,Uthappa,0,goes for the big slog sweep but it flies striaght to Raina at short midwicket
,,,,,,,,
1,11,2,3877.08,3889.76,Muralitharan,Uthappa,2,**dropped** by R Ashwin at deep cover. RObin had switched around completely into a left-hander's stance and plays a reverse sweep - a revere slog sweep! - but Ashwin and Tyagi nearly converge and Ashwin fails to hold on.. no one called for the catch I guess
,,,,,,,,
1,11,3,3915.76,3927.84,Muralitharan,Uthappa,2,goes for another reverse sweep! this time doesn't switch around completely .. and the ball goes past short third man
,,,,,,,,
1,11,4,3949,3964.2,Muralitharan,Uthappa,0,
,,,,,,,,
